TYPE,CODE,L1_KR,L1_EN,L2_KR,L2_EN,L3_KR,L3_EN,L4_KR,L4_EN
ROH1,AABN0010,농산물,Agri,대두&콩류,Beans,대두 (GMO),Soybean (GMO),,
ROH1,AABN0020,농산물,Agri,대두&콩류,Beans,대두 (Non-GMO),Soybean (Non-GMO),,
ROH1,AABN0030,농산물,Agri,대두&콩류,Beans,콩나물콩,Sprout Bean,,
ROH1,AABN0040,농산물,Agri,대두&콩류,Beans,렌틸콩,Lentils,,
ROH1,AABN0050,농산물,Agri,대두&콩류,Beans,강낭콩,Kidney Bean,,
ROH1,AABN0060,농산물,Agri,대두&콩류,Beans,줄기콩,Green Beans,,
ROH1,AABN0070,농산물,Agri,대두&콩류,Beans,녹두,Mung Bean,,
ROH1,AABN0080,농산물,Agri,대두&콩류,Beans,병아리콩,Chickpeas,,
ROH1,AABN0090,농산물,Agri,대두&콩류,Beans,완두콩,Pea,,
ROH1,AABN0100,농산물,Agri,대두&콩류,Beans,풋콩,Edamame,,
ROH1,AABN0110,농산물,Agri,대두&콩류,Beans,적두 (팥),Red Bean (Adzuki Bean),,
ROH1,AABN9990,농산물,Agri,대두&콩류,Beans,기타콩류,Other Beans,,
ROH1,AACV0010,농산물,Agri,고추류,Chili Varieties,냉고추,Frozen Chili Peppers,,
ROH1,AACV0020,농산물,Agri,고추류,Chili Varieties,건고추,Dried Chili Peppers,,
ROH1,AACV0030,농산물,Agri,고추류,Chili Varieties,고추씨,Chili Seeds,,
ROH1,AACV0040,농산물,Agri,고추류,Chili Varieties,청양고추,Cheongyang Chili Peppers,,
ROH1,AACV0050,농산물,Agri,고추류,Chili Varieties,풋고추,Green Chili Peppers,,
ROH1,AACV0060,농산물,Agri,고추류,Chili Varieties,홍고추,Red Chili Peppers,,
ROH1,AACV0070,농산물,Agri,고추류,Chili Varieties,꽈리고추,Shishito Pepper,,
ROH1,AACV0080,농산물,Agri,고추류,Chili Varieties,고춧가루,Chili Powder,,
ROH1,AACV0090,농산물,Agri,고추류,Chili Varieties,할라피뇨,Jalapeño,,
ROH1,AACV9990,농산물,Agri,고추류,Chili Varieties,기타고추류,Other Chili Varieties,,
ROH1,AAFR0010,농산물,Agri,과실류,Fruits,사과,Apple,,
ROH1,AAFR0020,농산물,Agri,과실류,Fruits,배,Pear,,
ROH1,AAFR0030,농산물,Agri,과실류,Fruits,감귤,Tangerine,,
ROH1,AAFR0040,농산물,Agri,과실류,Fruits,딸기,Strawberry,,
ROH1,AAFR0050,농산물,Agri,과실류,Fruits,금귤,Kumquat,,
ROH1,AAFR0060,농산물,Agri,과실류,Fruits,단감,Sweet Persimmon,,
ROH1,AAFR0070,농산물,Agri,과실류,Fruits,홍시,Hongsi,,
ROH1,AAFR0080,농산물,Agri,과실류,Fruits,대봉시,Daebongsi,,
ROH1,AAFR0090,농산물,Agri,과실류,Fruits,매실,Japanese Plum,,
ROH1,AAFR0100,농산물,Agri,과실류,Fruits,메론,Melon,,
ROH1,AAFR0110,농산물,Agri,과실류,Fruits,모과,Quince,,
ROH1,AAFR0120,농산물,Agri,과실류,Fruits,복분자,Bokbunja,,
ROH1,AAFR0130,농산물,Agri,과실류,Fruits,블루베리,Blueberry,,
ROH1,AAFR0140,농산물,Agri,과실류,Fruits,수박,Watermelon,,
ROH1,AAFR0150,농산물,Agri,과실류,Fruits,키위&참다래,Kiwi&Persimmon,,
ROH1,AAFR0160,농산물,Agri,과실류,Fruits,참외,Oriental Melon,,
ROH1,AAFR0170,농산물,Agri,과실류,Fruits,천혜향,Cheonhyehyang,,
ROH1,AAFR0180,농산물,Agri,과실류,Fruits,한라봉,Hallabong,,
ROH1,AAFR0190,농산물,Agri,과실류,Fruits,포도,Grape,,
ROH1,AAFR0200,농산물,Agri,과실류,Fruits,자두,Plum,,
ROH1,AAFR0210,농산물,Agri,과실류,Fruits,복숭아,Peach,,
ROH1,AAFR0220,농산물,Agri,과실류,Fruits,리치,Lychee,,
ROH1,AAFR0230,농산물,Agri,과실류,Fruits,체리,Cherry,,
ROH1,AAFR0240,농산물,Agri,과실류,Fruits,레몬,Lemon,,
ROH1,AAFR0250,농산물,Agri,과실류,Fruits,망고,Mango,,
ROH1,AAFR0260,농산물,Agri,과실류,Fruits,바나나,Banana,,
ROH1,AAFR0270,농산물,Agri,과실류,Fruits,석류,Pomegranate,,
ROH1,AAFR0280,농산물,Agri,과실류,Fruits,오렌지,Orange,,
ROH1,AAFR0290,농산물,Agri,과실류,Fruits,자몽,Grapefruit,,
ROH1,AAFR0300,농산물,Agri,과실류,Fruits,파인애플,Pineapple,,
ROH1,AAFR0310,농산물,Agri,과실류,Fruits,살구,Apricot,,
ROH1,AAFR0320,농산물,Agri,과실류,Fruits,대추,Jujubes,,
ROH1,AAFR0330,농산물,Agri,과실류,Fruits,올리브,Olive,,
ROH1,AAFR0350,농산물,Agri,과실류,Fruits,코코넛,Coconut,,
ROH1,AAFR9990,농산물,Agri,과실류,Fruits,기타과실류,Other Fruits,,
ROH1,AAFV0010,농산물,Agri,열매채소류,Fruiting Vegetables,토마토,Tomato,,
ROH1,AAFV0020,농산물,Agri,열매채소류,Fruiting Vegetables,오이,Cucumber,,
ROH1,AAFV0030,농산물,Agri,열매채소류,Fruiting Vegetables,호박,Pumpkin,,
ROH1,AAFV0040,농산물,Agri,열매채소류,Fruiting Vegetables,가지,Eggplant,,
ROH1,AAFV9990,농산물,Agri,열매채소류,Fruiting Vegetables,기타열매채소류,Other Fruiting Vegetables,,
ROH1,AAGR0010,농산물,Agri,곡물류,Grains,원맥&밀,Raw Wheat&Wheat,,
ROH1,AAGR0020,농산물,Agri,곡물류,Grains,옥수수,Corn,,
ROH1,AAHB0010,농산물,Agri,허브류,Herbs,파슬리,Parsley,,
ROH1,AAHB0020,농산물,Agri,허브류,Herbs,바질 (잎),Basil (Leaf),,
ROH1,AAHB0030,농산물,Agri,허브류,Herbs,스테비아,Stevia,,
ROH1,AAHB0040,농산물,Agri,허브류,Herbs,오레가노,Oregano,,
ROH1,AAHB0050,농산물,Agri,허브류,Herbs,아니스 (씨),Anise,,
ROH1,AAHB9990,농산물,Agri,허브류,Herbs,기타허브류,Herbs Others,,
