MATERIAL_CODE,MATERIAL_DESC,TYPE,CATEGORY_CODE
618381,시트/하부PE시트(0.02*130*1000)*PM,ROH2,PLEF0040
625642,시트/0/상부PE시트(0.02*160*1000)*PM,ROH2,PLEF0040
618380,시트/하부PE시트(0.02*110*1000)*분,ROH2,PLEF0040
629883,햇반180G*4(2+2)/리드,ROH2,PLMF0060
601901,기타/0/OPP테이프(자동)/칼라,ROH2,OTOT0010
604227,파우치(수동)/무지PE40*36Cm동,ROH2,PLEF0030
600444,기타백(비닐)/타이콘 외피,ROH2,PLEF0040
602199,A)3PC캔 (원형)/18L/100%통참깨참기름,ROH2,MECA0010
604363,기타/수출용 날인잉크,ROH2,OTOT0090
604016,기타/OPP테이프/500,ROH2,OTOT0010
604013,기타/4.5kg/나이론사/백색7합,ROH2,OTOT9990
600323,A)박스(A-1형)/3 g/대한항공,ROH2,PABX0010
600393,인서트지/타이콘사각,ROH2,PLLB0030
600982,사출블로우용기(PET)/840G/양념장/공통,ROH2,PLCO0040
503911,탈지분유/분/실온/AU,ROH1,LPDA0050
603974,기타/소프트밴드,ROH2,OTOT0070
600423,튜브롤(자동)/2 kg/수출,ROH2,PLEF0020
604347,스티커/분,ROH2,PLLB0030
520940,대추농축액_MSC/액상/냉장/KR,ROH1,APFR0010
601434,박스(A-1형)/1Kg/핫케익가루,ROH2,PABX0010
601435,박스(A-1형)/500g/핫케익가루,ROH2,PABX0010
604240,파우치(수동)/타이콘내PE,ROH2,PLEF0040
604241,파우치(수동)/타이콘외PE,ROH2,PLEF0040
604263,선물기타/유색테이프50*1000,ROH2,OTOT0010
600742,필름/랩/출고용,ROH2,PLOT0040
601443,지함/머핀믹스,ROH2,PAFD0010
601269,복합밥스푼,ROH2,PLOT0020
621386,이지오픈지대/20KG/프리미엄 배터믹스,ROH2,PASA0030
600734,스티커/20kg/타이콘용,ROH2,PLLB0030
602252,A)스티커/110L/진한참기름,ROH2,PLLB0030
602164,유리병/110ML/참기름병,ROH2,GLBO0010
602253,A)스티커/160ML/진한참기름,ROH2,PLLB0030
602165,유리병/160ML/참기름병,ROH2,GLBO0010
602200,3PC캔(원형)/350ML/진한참기름,ROH2,MECA0010
602202,3PC캔(원형)/500ML/진한참기름,ROH2,MECA0010
505550,A)건파/고상/실온/CN,ROH1,AASV0010
505551,A)건표고버섯/고상/실온/CN,ROH1,AAMU0070
500423,겨자분/분말/실온/KR,ROH1,CDSP0020
500443,A)고추가루/분/실온/KR,ROH1,AACV0080
506236,A)고춧가루/분말/실온/국산,ROH1,AACV0080
601766,라벨/0.5L/대0.5L사각,ROH2,PLLB0040
601693,박스(A-1형)/0.5L/대 사각,ROH2,PABX0010
602251,스티커/80ML/진한참기름,ROH2,PLLB0030
602163,유리병/80ML/참기름병,ROH2,GLBO0010
602204,A)사출캡/L/참기름병캡,ROH2,PLCL0010
504061,흑깨/분/실온/CN,ROH1,APGR0170
500625,A)흑후추/분/실온/SG,ROH1,CDSP0010
501670,동결후지/비규격/동결육,ROH1,LLPK0150
623690,박스(A-1형)/조리육가공 표준 A형,ROH2,PABX0010
600398,스티커/5kg/요리당,ROH2,PLLB0030
601804,기타/와이어선2.45,ROH2,OTOT9990
500693,A)양배추/고상/냉동/CN,ROH1,AALV0130
609392,케이싱/0/시프케이싱양장#20/22,ROH2,CANC0010
605468,스티커/25KG/요리당일반,ROH2,PLLB0030
600325,박스(A-1형)/5kg/요리당,ROH2,PABX0010
600321,파렛트패드/공통,ROH2,PAOT0020
603970,사출용기/5kg/요리당,ROH2,PLCO0030
605960,3PC캔(원형)/20kg,ROH2,MECA0010
603973,3PC캔(원형)/25kg,ROH2,MECA0010
605959,스티커/20KG/올리고당HF,ROH2,PLLB0030
600396,스티커/25kg/올리고당HF,ROH2,PLLB0030
607620,파우치(수동)/1kg/바삭부침가루,ROH2,PLMF0040
607622,파우치(수동)/1kg/바삭튀김가루,ROH2,PLMF0040
501555,밀SW8.5/고상/실온/US,ROH1,AAGR0010
500136,밀HRW11.5MIN/고상/실온/US,ROH1,AAGR0010
500139,밀ASW/고상/실온/AU,ROH1,AAGR0010
608710,이지오픈지대/KW-1,ROH2,PASA0030
500141,밀AH/고상/실온/AU,ROH1,AAGR0010
500138,밀CWRS13.5MIN/고상/실온/CA,ROH1,AAGR0010
608673,사출블로우용기(PET)/700g/요리당,ROH2,PLCO0040
614849,박스(A-1형)/24G/밥이랑해물,ROH2,PABX0010
608674,라벨/700G/요리당,ROH2,PLLB0040
602176,박스(A-1형)/500ML/진한참기름,ROH2,PABX0010
608676,사출블로우용기(PET)/1.2kg/요리당,ROH2,PLCO0040
608677,라벨/1.2KG/요리당,ROH2,PLLB0040
608679,"사출캡/1.2KG,700G/요리당",ROH2,PLCL0010
501843,고과당/액상/실온/KR,ROH1,CDDS0060
613664,이지오픈지대/20kg/고급면용1호(호주100%),ROH2,PASA0030
608681,사출블로우용기(PET)/2.45kg/요리당,ROH2,PLCO0040
608683,라벨/2.45KG/요리당,ROH2,PLLB0040
631836,이지오픈지대/10KG/E)프리믹스무,ROH2,PASA0030
602170,박스(A-1형)/160ML/진한참기름(간지포함),ROH2,PABX0010
602174,박스(A-1형)/350ML/진한참기름,ROH2,PABX0010
674979,TOP/260G/숯불구이맛김밥햄,ROH2,PLMF0020
626057,리드/140G/모닝두부플레인,ROH2,PLMF0050
600928,기타/0/박스접착제/377H,ROH2,OTAD0010
606348,유리병/320ML/참기름병,ROH2,GLBO0010
500889,A)계피가루/분/실온/IN,ROH1,CDSP0030
632204,박스(A-1형)/960G/크레잇켄터키후랑크,ROH2,PABX0010
604352,평판롤(자동)/3KG/찰,ROH2,PLEF0010
601777,사출블로우용기(PET)/0.5L/대두유,ROH2,PLCO0040
601725,사출캡/0.5L/대두유공용(0.5/0.9),ROH2,PLCL0010
601718,기타/대두유시트,ROH2,PABI9990
631583,필름/5ML/진한참기름(유럽),ROH2,PLMF0030
631584,박스(A-1형)/5ML/진한참기름(유럽),ROH2,PABX0010
626043,박스(A-1형)/2.45kg/요리당(캡변경),ROH2,PABX0010
626082,박스(A-1형)/80G/스팸싱글클래식,ROH2,PABX0010
632936,금속캡/350G/백설굴소스,ROH2,MECL0010
509919,A)MAXAROME SELECT/분/실온/NL,ROH1,FAFO0040
627801,햇반200G2+2번들(2+2)200G*4/박스(A-1,ROH2,PABX0010
504447,돼지고기(모돈갈비)/고상/냉동/KR,ROH1,LLPK0070
620247,박스(A-1형)/150G/쇠고기산들애,ROH2,PABX0010
629081,A)스티커/1.81KG/스팸클래식,ROH2,PABX0010
628290,중지함/80ML/진한참기름,ROH2,PAFD0020
507355,전복굴엑기스/액상/실온/KR,ROH1,SPSF9990
601677,박스(A-1형)/3.6L/대두(간지포함),ROH2,PABX0010
631167,파우치(수동)/1KG/공용무지비닐,ROH2,PLEF0030
632361,TOP/500G/더건강한햄(후랑크),ROH2,PLMF0020
632411,박스(A-1형)/850g/100%국산된장(EMT),ROH2,PABX0010
503183,대두원유/액상/실온/AR,ROH1,OPOF0130
623837,TOP/1000G/이츠웰맛있는베이컨(냉장),ROH2,PLMF0020
500365,정제소금/고상/실온/KR(맛소금용),ROH1,CDSA0040
520127,A)생강향G-11039/액상/실온/KR,ROH1,FAFO0010
520128,A)브라운골든시럽씨제이/액상/실온/KR,ROH1,CDDS0060
671496,박스(A-1형)/1KG/크레잇맛있는베이컨(냉동),ROH2,PABX0010
632382,사출캡(PP)/200G/우리쌀골드/사각,ROH2,PLCO0050
510597,국산콩가루/분/실온/KR,ROH1,APBN0030
631422,지함/750G*2/쇠고기다시다(창고형이마트),ROH2,PAFD0010
502975,"돼지고기(등심)/고상/냉장,냉동/KR",ROH1,LLPK0030
600438,튜브롤(자동)/3kg/하얀설탕,ROH2,PLEF0020
600440,파우치(PE)/4.5KG/하얀설탕,ROH2,PLEF0030
604231,A)평판롤(자동)/74자동롤,ROH2,PLEF0010
510700,A)타마린드페이스트/액상/실온/TH,ROH1,CDSP9990
510707,레드와인농축액/액상/실온/KR,ROH1,APFR0010
510706,야채혼합농축액CJ /액상/실온/KR,ROH1,APOT0030
510709,혼합허브앤스파이스CJ /분/실온/KR,ROH1,CDCS0010
500398,구연산/분/실온/CN,ROH1,FASB0030
601401,파우치(수동)/1Kg/치킨튀김,ROH2,PLMF0040
601406,A)파우치(수동)/500g/녹두빈대가루,ROH2,PLMF0040
601868,케이싱/셀룰로즈 18/84(줄무늬),ROH2,CACE0010
501252,에탄올/기상/실온/KR,ROH1,FAFO0030
501853,소맥전분(알파)/액상/실온/KR,ROH1,APST0030
501748,올리브유/액상/실온/ES,ROH1,OPOF0030
506573,야자유/액상/실온/ID,ROH1,OPOF0110
503950,포도씨유/액상/실온/ES,ROH1,OPOF0040
611715,원형 210g 필름,ROH2,PLMF0060
500830,볶음땅콩분태/분/실온/CN,ROH1,AANU0020
504060,변성전분(썬크리미)/분/실온/US,ROH1,APST0040
608909,원형 210g 반제품 박스,ROH2,PABX0010
608973,리드/210g/발아현미,ROH2,PLMF0060
612103,수)발아현미 210g 필름,ROH2,PLMF0060
612276,라벨/340G/백설런천미트,ROH2,PLLB0040
